CITY,STATE,IBGE_ID,CAPITAL,IBGE_RES_POP_ESTR_PERC,IBGE_DU_RATE,IBGE_DU_RURAL_PERC,IBGE_POP_UP_PERC,IBGE_0-14_PERC,IBGE_15-59_PERC,IBGE_60+_PERC,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,REGIAO_TUR,CATEGORIA_TUR,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,CARS_RATE,MOTORCYCLES_RATE,UBER,MCDONALDS,WALMART,POST_OFFICES_RATE,IBGE_POP_10+_2010,IBGE_EDU_0_PERC,IBGE_EDU_1_PERC,IBGE_EDU_2_PERC,IBGE_EDU_3_PERC,IBGE_EDU_NA_PERC,IBGE_ESTIMATED_POP_2017,HOMICIDES,HIDDEN_HOMICIDES,GINI_INDEX_2000,GINI_INDEX_2010,ILLITERACY_RATE_10+_2010,UNEMPLOYMENT_RATE_10+_2010
Rosário Do Ivaí,PR,4122651,0,0.001073729,0.320508232,0.490228922,0.482462419,0.229970326,0.602002967,0.168026706,5149,21988,2856,0.662,0.638,0.788,0.577,-51.24994483,-24.25355256,565.02,64,246,371.25,Vale Do Ivaí,D,Rural Adjacente,26829.22,6497.93,22300.74,24430.2,80058.09,3715.2,83.77,5298,15812.25,"Administração, defesa, educação e saúde públicas e seguridade social",14628414,130,0,0,5,0,0,5,67,3,7,0,1,1,2,1,2,12,10,0,14,0,0,2,48,1,0,1,0,47384612,0,0.267703643,0.20487106,0,0,0,20.46663938,0.862383679,0.659265408,0.144428305,0.134052708,0.059763436,0.002490143,5231,0,0,0.6094,0.481,0.174803475,0.418494001
Rosário Do Sul,RS,4316402,0,0.000478505,0.331855844,0.131972376,0.875135367,0.222797778,0.615384615,0.161817606,59449,231621,1961,0.7,0.705,0.841,0.576,-54.94576086,-30.24403324,150.36,2013,3846,4343.68,Fronteira,C,Urbano,205.84,45833.81,389757.7,161.17,802607.31,61007.14,863614.45,40750,21192.99,Demais serviços,,1121,37,11,58,0,1,22,641,50,63,13,5,0,26,40,4,30,27,29,64,0,0,0,0,1,3,1,3,41261178,642983735,0.286379158,0.120753762,0,0,1,5.058808651,0.86846148,0.557649925,0.193510034,0.186898272,0.060665816,0.001304953,40727,8,0,0.5451,0.5194,0.072245337,0.326573366
Rosário Oeste,MT,5107701,0,0.000339386,0.294586798,0.422619048,0.439391368,0.252960865,0.629763131,0.117276004,35797,106759,3127,0.65,0.653,0.807,0.52,-56.42829321,-14.82642757,202.68,851,808,7169.88,Região Turística Circuito Das Águas,D,Rural Adjacente,110.42,22538.16,61824.56,93.91,288693.45,17495.21,306.19,17016,17994.16,"Administração, defesa, educação e saúde públicas e seguridade social",,187,9,7,13,0,0,7,87,8,16,0,1,0,5,4,4,8,8,0,10,0,0,6,277,0,1,0,1,0,129048048,0.110982189,0.143180368,0,0,0,23.2058943,0.844391651,0.655144695,0.144292605,0.152532154,0.04414523,0.003885316,16908,4,0,0.574,0.508,0.152297887,0.431801409
Roseira,SP,3544301,0,0.001562663,0.29805188,0.048933939,0.946869466,0.229068104,0.674111563,0.096820332,1150,5466,863,0.737,0.691,0.823,0.704,-45.30937779,-22.89681855,547.21,914,1652,130.65,Fé,D,Urbano,4555.08,81397.85,115.72,42.09,243760.93,25548.01,269308.93,10429,25823.08,Demais serviços,,328,43,8,21,0,0,15,105,19,35,4,0,5,12,32,2,6,5,4,12,0,0,0,0,0,1,0,1,0,28195586,0.321909425,0.110441578,0,1,0,9.415309293,0.849776018,0.460831188,0.182420007,0.283314944,0.071717543,0.001716317,10512,4,0,0.507,0.4355,0.049256279,0.354669593
Roteiro,AL,2707800,0,0,0.249549279,0.118001204,0.871694712,0.36918304,0.558600483,0.072216477,9522,36920,5517,0.505,0.524,0.672,0.365,-35.98121022,-9.83218949,31.65,33,28,128.81,Lagoas E Mares Do Sul,E,Intermediário Adjacente,52.51,1.52,14084.34,32875.49,100987.32,1235.72,102223.05,6788,15059.38,"Administração, defesa, educação e saúde públicas e seguridade social",28031016,24,1,0,0,0,0,0,13,3,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057784431,0.049550898,0,0,0,14.97005988,0.753004808,0.822625698,0.10415004,0.061652035,0.011771748,0,6774,9,0,0.5524,0.4703,0.338258786,0.477036741
Rubelita,MG,3156502,0,0,0.287956768,0.666219839,0.323468863,0.287589499,0.575178998,0.137231504,735,913,4608,0.58,0.552,0.808,0.443,-42.26476233,-16.40296642,439.34,75,66,1110.3,Cachaça,E,Rural Remoto,6.72,3555.73,13094.67,27176.52,50543.86,2365,52.91,6937,7627.05,"Administração, defesa, educação e saúde públicas e seguridade social",14998982,68,3,3,2,0,0,1,22,1,2,0,0,0,0,0,2,3,5,1,23,0,0,1,36,0,0,0,0,0,0,0.050661504,0.088415618,0,0,0,32.2684737,0.834405558,0.765612953,0.111796453,0.090979183,0.023747109,0.007864302,6789,1,1,0.7067,0.5019,0.217968509,0.465730164
Rubiácea,SP,3544400,0,0,0.317332356,0.424942263,0.572737266,0.220089571,0.652591171,0.127319258,8475,50681,1287,0.721,0.684,0.82,0.668,-50.726908,-21.30052399,427.03,201,247,236.48,Sem Região,Z,Rural Adjacente,22647.78,3273.16,14339.51,15.47,55728.86,1118.58,56847.44,3015,18854.87,"Agricultura, inclusive apoio à agricultura e a pós colheita",12359253,44,9,0,3,0,0,4,15,1,2,0,0,0,1,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.259941804,0.074684772,0,0,0,64.66214032,0.85159399,0.583046472,0.173407917,0.225043029,0.018502582,0,3046,0,0,0.4981,0.367,0.099357602,0.316488223
Rubiataba,GO,5218904,0,0.00026434,0.335606661,0.141304348,0.850911975,0.225784405,0.651630941,0.122584654,6710,30925,1338,0.72,0.686,0.814,0.666,-49.8034097,-15.16431275,638.25,217,1387,748.26,Sem Região,Z,Urbano,50105.8,107642.8,149521.3,75687.01,382956.91,30295.52,413252.43,19914,20751.85,Demais serviços,47656806,456,7,0,69,0,2,16,205,25,10,6,2,2,16,14,4,20,18,4,36,0,0,0,0,2,2,2,2,77211504,318236319,0.28215998,0.235074439,0,0,0,5.046681807,0.865609305,0.551212362,0.179075307,0.20973554,0.053441642,0.006596225,19994,3,0,0.5021,0.452,0.090430739,0.332966226
Rubim,MG,3156601,0,0,0.30970864,0.228515625,0.774069967,0.24133889,0.594686116,0.163974993,273,450,3929,0.609,0.589,0.817,0.469,-40.53694147,-16.37297352,235.55,150,388,965.17,Vale Do Jequitinhonha,E,Rural Remoto,11243.08,3261.69,24522.58,40150.77,79.18,2.47,81651.4,10354,7885.98,"Administração, defesa, educação e saúde públicas e seguridade social",20160622,92,0,0,5,0,0,1,62,2,0,1,0,0,4,4,2,0,3,3,5,0,0,0,0,0,1,0,1,0,34710839,0.064834735,0.104146294,0,0,0,19.55798944,0.849279161,0.74465812,0.111348528,0.115978158,0.020892688,0.007122507,10377,0,1,0.5812,0.4906,0.244465603,0.354796477
Rubinéia,SP,3544509,0,0.001048218,0.34940601,0.174,0.822152341,0.189545261,0.623459414,0.186995325,2736,16044,399,0.759,0.713,0.844,0.726,-50.99748456,-20.1717745,343.15,271,378,242.88,Entre Rios,D,Urbano,23.04,3.51,19683.26,19612.42,65840.46,2051.26,67891.71,3081,22035.61,"Administração, defesa, educação e saúde públicas e seguridade social",,74,8,1,1,0,0,2,24,3,15,2,0,2,2,4,3,1,1,1,4,0,0,2,115,0,0,0,0,0,0,0.392,0.11296,0,0,0,64,0.892033543,0.51586369,0.15942029,0.233450842,0.091265178,0,3102,0,0,0.4665,0.4037,0.065047022,0.322884013
Rurópolis,PA,1506195,0,0,0.237283908,0.575378469,0.378352084,0.314366717,0.610931628,0.074701655,11649,51219,5226,0.55,0.548,0.764,0.392,-54.90586226,-4.09906539,144.18,1879,119,7021.32,Tapajós,D,Rural Remoto,79717.9,35921.51,66475.28,140986.21,323100.9,18.43,341528,47971,7119.47,"Administração, defesa, educação e saúde públicas e seguridade social",,208,3,5,17,0,0,7,105,4,8,1,1,0,2,6,4,13,2,1,29,0,0,2,68,0,1,0,1,0,158098283,0.011292245,0.086499808,0,0,0,2.020079591,0.777159678,0.739295115,0.150381973,0.090357578,0.017429544,0.002567889,49093,2,1,0.5875,0.565,0.161481339,0.529479547
Russas,CE,2311801,0,0,0.292956052,0.343679734,0.642776338,0.24149531,0.655980573,0.102524116,9456,68353,2583,0.674,0.617,0.791,0.626,-37.9754313,-4.939737815,25.36,2434,1082,1590.26,Sem Região,Z,Urbano,73759.5,141140.39,345.04,231.29,791225.57,127438.11,918663.68,75762,12125.65,Demais serviços,142406539,1112,35,14,185,0,2,34,494,26,28,9,3,3,23,30,2,51,41,8,124,0,0,1,37,1,3,1,3,65671060,531528330,0.102231934,0.318388741,0,0,0,7.803964414,0.851073275,0.576312823,0.175172042,0.213719651,0.029983343,0.004795316,76475,54,1,0.5326,0.4696,0.178230651,0.360735742
Ruy Barbosa,BA,2927200,0,0.000869943,0.293706294,0.255183413,0.736507512,0.274850082,0.594312193,0.130837725,586,1082,3916,0.61,0.583,0.77,0.505,-40.50037123,-12.28931696,366.47,1084,898,1991.77,Sem Região,Z,Intermediário Adjacente,23679.16,66001.36,98353.62,96175.3,284209.44,30.71,314915.95,31933,9861.77,"Administração, defesa, educação e saúde públicas e seguridade social",,397,8,1,18,0,1,8,233,11,21,4,1,2,11,12,2,10,25,6,23,0,0,0,0,1,2,1,2,69011746,101035690,0.075893002,0.107485293,0,0,0,6.500471284,0.82647974,0.686814299,0.118213837,0.169304886,0.02250921,0.003117283,32009,11,2,0.6087,0.5634,0.208022388,0.433038611
