CITY,STATE,IBGE_ID,CAPITAL,IBGE_RES_POP_ESTR_PERC,IBGE_DU_RATE,IBGE_DU_RURAL_PERC,IBGE_POP_UP_PERC,IBGE_0-14_PERC,IBGE_15-59_PERC,IBGE_60+_PERC,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,REGIAO_TUR,CATEGORIA_TUR,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,CARS_RATE,MOTORCYCLES_RATE,UBER,MCDONALDS,WALMART,POST_OFFICES_RATE,IBGE_POP_10+_2010,IBGE_EDU_0_PERC,IBGE_EDU_1_PERC,IBGE_EDU_2_PERC,IBGE_EDU_3_PERC,IBGE_EDU_NA_PERC,IBGE_ESTIMATED_POP_2017,HOMICIDES,HIDDEN_HOMICIDES,GINI_INDEX_2000,GINI_INDEX_2010,ILLITERACY_RATE_10+_2010,UNEMPLOYMENT_RATE_10+_2010
Dom Joaquim,MG,3122603,0,0,0.29415656,0.320089955,0.643660419,0.250085646,0.587187393,0.162726961,360,712,3661,0.622,0.61,0.819,0.482,-43.261348,-18.96455019,601.75,67,128,398.82,Sem Região,Z,Rural Adjacente,4940.7,1796.13,13559.47,20968.27,41264.56,1954.06,43218.61,4609,9377,"Administração, defesa, educação e saúde públicas e seguridade social",,65,1,0,2,0,0,0,33,1,9,1,0,0,1,1,2,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0.119812584,0.121820616,0,0,0,44.62293619,0.848070562,0.728029121,0.115444618,0.108684347,0.042641706,0.005460218,4602,0,0,0.5959,0.5453,0.149102264,0.369502992
Dom Macedo Costa,BA,2910206,0,0,0.305110996,0.510152284,0.454568921,0.232254401,0.633730835,0.134014764,375,2607,3455,0.632,0.598,0.795,0.531,-39.18809417,-12.91148926,165.85,324,44,94.78,Caminhos Do Jiquiriçá,D,Rural Adjacente,6.56,1628.94,7514.79,14872.14,30579.59,1016.83,31596.42,4201,7521.17,"Administração, defesa, educação e saúde públicas e seguridade social",,29,0,0,2,0,0,0,15,3,2,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.086419753,0.120740741,0,0,0,24.69135802,0.858802272,0.656146679,0.151187256,0.178238653,0.012022843,0.002404569,4212,0,0,0.4991,0.5609,0.192158037,0.427117629
Dom Pedrito,RS,4306601,0,0.004910278,0.337832279,0.10067727,0.900791814,0.218898941,0.624161648,0.15693941,129712,558610,1685,0.708,0.715,0.848,0.585,-54.67413018,-30.98126706,141.46,1449,4248,5191.92,Pampa Gaúcho,D,Urbano,370.94,91978.04,456609.14,177038.02,1096561.99,75341.19,1171903.18,39853,29405.65,Demais serviços,82189971,1008,28,6,49,0,0,20,601,42,40,8,12,8,32,25,10,35,16,16,60,0,0,1,45,3,3,3,3,501316530,610238408,0.313534945,0.172302988,0,0,1,5.182824121,0.866985449,0.565354051,0.189894437,0.172280868,0.069950184,0.002490808,39822,9,0,0.6225,0.5448,0.055343002,0.315716108
Dom Pedro,MA,2103802,0,0,0.27419426,0.313394436,0.672060315,0.287345011,0.609394476,0.103260513,2134,3249,3662,0.622,0.582,0.759,0.545,-44.44000991,-5.038447635,137.88,258,217,358.49,Sem Região,Z,Intermediário Adjacente,8.42,16562.74,107624.5,67.46,200.07,16986.16,217058.73,22897,9479.79,Demais serviços,,348,1,0,26,0,0,5,253,4,17,2,0,0,8,5,2,6,9,2,8,0,0,0,0,1,1,1,1,24072517,51830900,0.048010974,0.266332305,0,0,0,4.286694102,0.808209515,0.662429764,0.171403633,0.136544651,0.022639245,0.006982707,22912,2,1,0.5773,0.4949,0.217452651,0.414283389
Dom Pedro De Alcântara,RS,4306551,0,0,0.374509804,0.714136126,0.289019608,0.18046133,0.667571235,0.151967436,852,13428,2174,0.691,0.697,0.82,0.577,-49.84954996,-29.37018708,16.48,112,90,78.22,Litoral Norte Gaúcho,E,Rural Adjacente,8487.86,2904.57,19753.01,14604.91,45750.33,3651.05,49401.38,2618,18869.89,"Administração, defesa, educação e saúde públicas e seguridade social",10437952,64,0,1,14,0,0,3,34,2,1,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0.286501377,0.189689099,0,0,0,39.35458481,0.902352941,0.653194263,0.176879618,0.142546719,0.0273794,0,2617,0,0,0.4593,0.4464,0.053339115,0.277103209
Dom Silvério,MG,3122702,0,0.000577367,0.32852194,0.219097832,0.774249423,0.191648024,0.625403927,0.182948049,85,256,1653,0.71,0.661,0.847,0.636,-42.97087297,-20.16220493,513.68,298,472,194.97,Serras De Minas,D,Rural Adjacente,9628.57,8943.01,32.65,21639.08,72864.59,6598.48,79463.07,5349,14855.69,Demais serviços,13793117,151,2,1,31,0,0,2,63,5,3,0,0,0,6,5,5,2,13,3,10,0,0,0,0,0,1,0,1,0,50120951,0.217432767,0.166507725,0,0,0,19.07304978,0.894341801,0.617387562,0.130406714,0.190445449,0.04970949,0.012265978,5351,0,0,0.5553,0.4177,0.091065662,0.297308934
Dom Viçoso,MG,3122801,0,0.001336005,0.324649299,0.663580247,0.332999332,0.178535607,0.64994985,0.171514544,482,3668,2271,0.687,0.617,0.819,0.641,-45.15916867,-22.25367411,916.43,69,102,113.92,Águas,E,Rural Adjacente,5.94,987.99,7449.6,14867.39,29242.31,652.24,29894.55,3073,9728.13,"Administração, defesa, educação e saúde públicas e seguridade social",10570748,31,0,0,4,0,0,0,17,2,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.195876289,0.13002993,0,0,0,33.25573661,0.883433534,0.634026465,0.167485822,0.160302457,0.03705104,0.001134216,3072,0,0,0.4207,0.4153,0.092424242,0.368939394
Domingos Martins,ES,3201902,0,0,0.306465287,0.735245902,0.242063617,0.190686211,0.683616552,0.125697237,8407,124712,2712,0.669,0.68,0.833,0.528,-40.65939635,-20.36423852,519.66,2454,1923,1229.21,Montanhas Capixabas,C,Rural Adjacente,127628.71,98.88,272.3,145760.07,644.57,44039.85,688611.74,34589,19908.4,Demais serviços,89183195,920,16,9,78,0,1,26,374,23,110,11,4,5,24,44,4,30,27,16,118,0,0,10,2000,0,4,0,3,0,389317938,0.29907152,0.26878467,0,0,0,,0.86419443,0.685923988,0.14235884,0.126516968,0.040040695,0.005195843,34757,2,1,0.5736,0.4875,0.0997338,0.305692302
Domingos Mourão,PI,2203420,0,0,0.259380863,0.743218807,0.22467167,0.234864301,0.649269311,0.115866388,2323,1815,5197,0.55,0.547,0.755,0.403,-41.27188145,-4.253433634,141.23,43,35,848.71,Polo Aventura E Mistério,D,Rural Adjacente,1954.55,1105.15,6883.05,19186.9,29129.65,1272.68,30402.33,4288,7090.1,"Administração, defesa, educação e saúde públicas e seguridade social",,30,0,0,0,0,0,0,17,0,1,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.022497704,0.065656566,0,0,0,22.95684114,0.814727955,0.799366724,0.110535406,0.065342545,0.022452504,0.002302821,4287,0,0,0.5866,0.5688,0.270737327,0.435771889
Dona Emma,SC,4205100,0,0.00268745,0.301800591,0.478183437,0.502015587,0.237152034,0.635438972,0.127408994,1879,19793,742,0.742,0.762,0.862,0.622,-49.71689775,-26.98630061,390.75,200,515,178.16,Caminhos Do Alto Vale,E,Rural Adjacente,18.69,21318.96,23367.52,19409.32,82.79,5286.9,88074.95,4039,21806.13,"Administração, defesa, educação e saúde públicas e seguridade social",15370708,135,4,1,62,2,0,3,32,4,7,2,2,0,3,1,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0.385140073,0.181242387,0,0,0,24.36053593,0.853265251,0.628031496,0.162834646,0.162834646,0.045984252,0,4081,0,0,0.6172,0.4641,0.038740157,0.18519685
Dona Eusébia,MG,3122900,0,0,0.315947342,0.141350211,0.850691551,0.215083252,0.657198825,0.127717924,3,12,1885,0.701,0.684,0.841,0.598,-42.80693406,-21.3238747,238.35,309,359,70.23,Serras E Cachoeiras,D,Intermediário Adjacente,15339.5,4361.28,24915.99,25313.04,69.93,3558.51,73.49,6483,11335.54,"Administração, defesa, educação e saúde públicas e seguridade social",,140,8,0,32,0,0,1,70,3,8,0,1,1,4,1,2,3,1,1,4,0,0,1,40,1,0,1,0,9974927,0,0.202820788,0.169860494,0,0,0,30.66073892,0.868355274,0.621185953,0.169065438,0.164651698,0.044905009,0,6527,0,0,0.497,0.4163,0.078250863,0.269275029
Dona Francisca,RS,4306700,0,0,0.328432814,0.337511191,0.630108792,0.191787214,0.635557629,0.172655156,4036,27998,2013,0.7,0.718,0.831,0.568,-53.36233318,-29.62485249,49.97,157,307,114.15,Central,E,Rural Adjacente,15848.6,13533.7,17469.45,15993.01,62.84,3.68,66.52,3352,19846.11,"Administração, defesa, educação e saúde públicas e seguridade social",12454813,95,0,1,6,0,0,7,31,5,4,1,0,0,4,3,3,4,1,4,21,0,0,0,0,0,1,0,1,0,28494752,0.317887233,0.151652625,0,0,0,32.404407,0.895324904,0.602298851,0.1727422,0.173727422,0.046633826,0.004926108,3331,2,0,0.5122,0.4721,0.065919578,0.309822017
Dona Inês,PB,2505709,0,0.000570505,0.281449082,0.522635135,0.440619949,0.280535175,0.556322831,0.163141994,1334,2622,5274,0.545,0.524,0.69,0.447,-35.62254065,-6.602122735,439.52,107,86,166.13,Brejo,D,Rural Adjacente,6465.99,2098.1,16.96,49229.12,74.76,2762.24,77519.04,10419,7440.16,"Administração, defesa, educação e saúde públicas e seguridade social",25418638,60,0,0,4,0,0,1,29,0,1,0,0,0,2,3,4,3,0,1,12,0,0,0,0,0,0,0,0,0,0,0.058203088,0.092051012,0,0,0,9.588647042,0.824854997,0.74962536,0.10962536,0.121037464,0.019827089,0,10383,1,0,0.6261,0.5459,0.343326774,0.448778794
Dores De Campos,MG,3123007,0,0,0.321539951,0.083277592,0.902892784,0.202358266,0.673058599,0.124583135,554,1586,2285,0.69,0.671,0.823,0.585,-44.02304657,-21.10408756,978.7,300,462,124.84,Trilha Dos Inconfidentes,D,Intermediário Adjacente,2.1,72532.47,74.29,36079.61,185,38387.03,223388.19,10026,22280.89,Indústrias de transformação,,309,1,2,132,0,0,3,112,8,10,3,0,0,2,12,2,3,7,4,8,0,0,0,0,0,0,0,0,0,0,0.301061403,0.162583077,0,0,0,9.919650828,0.873964942,0.622615971,0.150362988,0.174972315,0.05007998,0.0018457,10093,2,2,0.4793,0.3997,0.065212032,0.267628205
Dores De Guanhães,MG,3123106,0,0,0.284893739,0.678091398,0.310549493,0.251541307,0.627620222,0.120838471,594,1953,3392,0.636,0.612,0.821,0.512,-42.92672189,-19.05426178,594.27,83,127,382.12,Trilhas Do Rio Doce,E,Rural Adjacente,6406.27,52.41,21000.68,24771.03,104588.66,3270.85,107859.51,5322,20266.72,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",16580047,58,1,5,5,0,0,4,29,3,1,0,0,0,0,2,2,1,1,0,4,0,0,1,40,0,0,0,0,0,0,0.123818708,0.164320154,0,0,0,19.28640309,0.849128853,0.724013529,0.122435175,0.096054115,0.056820744,0.000676437,5316,0,0,0.5381,0.4926,0.173863893,0.431833597
Dores Do Indaiá,MG,3123205,0,0.000870954,0.361082886,0.088040201,0.908404703,0.199105145,0.619207415,0.18168744,142,474,1356,0.72,0.71,0.84,0.623,-45.60265583,-19.46162944,714.07,377,1492,1111.2,Caminhos Do Indaiá,D,Urbano,23579.58,20911.38,99133.85,54144.8,197769.61,14.43,212203.95,13952,15209.57,Demais serviços,28724624,356,5,1,47,0,0,10,154,17,19,8,4,3,17,12,3,14,13,3,26,0,0,0,0,1,2,1,2,24766840,199832128,0.338010487,0.095783177,0,0,0,7.384978953,0.879953549,0.570686242,0.17065325,0.204058067,0.053860112,0.00082481,13923,2,2,0.5582,0.471,0.101813685,0.27147568
Dores Do Rio Preto,ES,3202009,0,0,0.322963889,0.413359148,0.553384399,0.233615819,0.636158192,0.130225989,6325,32922,3031,0.654,0.635,0.813,0.542,-41.84957736,-20.69289391,767.52,358,191,159.3,Caparaó,D,Rural Adjacente,25.35,14850.58,47249.71,30902.07,118.36,8509.49,126866.53,6920,18333.31,"Administração, defesa, educação e saúde públicas e seguridade social",22901199,196,1,0,14,0,0,15,114,10,5,1,0,0,4,5,4,5,1,3,14,0,0,7,121,0,1,0,1,0,24732480,0.287349487,0.161290323,0,0,0,44.59640256,0.841957167,0.662829558,0.176940215,0.134608244,0.025064983,0.000557,6949,1,0,0.5371,0.5148,0.159517177,0.357288765
Dores Do Turvo,MG,3123304,0,0,0.306588974,0.503654971,0.453160018,0.205736894,0.609792285,0.184470821,523,1684,3505,0.629,0.613,0.829,0.49,-43.19519452,-20.98127337,788.58,155,114,231.17,Sem Região,Z,Rural Adjacente,9183.34,1884.17,11526.79,18439.2,41033.5,1669.69,42703.19,4455,9585.45,"Administração, defesa, educação e saúde públicas e seguridade social",12038733,69,3,0,7,0,0,2,31,8,4,0,0,0,1,1,3,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0.26463045,0.33131266,0,0,0,23.31545815,0.873599283,0.727809133,0.138276039,0.102360185,0.029502309,0.001795793,4437,3,0,0.6141,0.4669,0.135149024,0.378468654
Doresópolis,MG,3123403,0,0.001388889,0.34375,0.216161616,0.785416667,0.220159151,0.666666667,0.113174182,481,2761,2154,0.69,0.652,0.869,0.585,-45.90519689,-20.28845096,679.69,56,42,152.91,Sem Região,Z,Rural Adjacente,9164.52,18862.82,11038.81,10971.95,50038.09,4447.93,54486.03,1526,35705.13,Indústrias de transformação,10272005,24,0,1,3,0,0,2,9,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2156476,0.105851414,0,0,0,65.74621959,0.861805556,0.573730862,0.252215955,0.124899275,0.042707494,0.006446414,1533,0,0,0.3541,0.3953,0.062197092,0.300484653
Dormentes,PE,2605152,0,0,0.275166992,0.601074114,0.354791039,0.279573476,0.618127291,0.102299234,7010,200,4428,0.589,0.558,0.741,0.495,-40.77073581,-8.448656987,483.72,41,333,1539.05,Águas E Vinhos Do Vale Do São Francisco,D,Rural Adjacente,9716.97,6132.89,81127.44,67818.34,164795.65,32519.51,197315.16,18510,10659.92,"Administração, defesa, educação e saúde públicas e seguridade social",37091507,208,0,0,9,0,0,2,85,5,1,2,1,0,4,8,3,13,4,0,71,0,0,1,36,0,0,0,0,0,0,0.052204548,0.170705669,0,0,0,26.68944166,0.815333688,0.714347858,0.122743421,0.135793518,0.020227652,0.006887552,18692,3,0,0.569,0.4708,0.233953253,0.345538751
Douradina,PR,4107256,0,0.00161182,0.321558093,0.290309106,0.699664204,0.207141486,0.659243617,0.133614897,9177,41350,1203,0.72,0.721,0.818,0.644,-53.29644866,-23.38190722,404.89,107,752,419.85,Corredores Das Águas,D,Rural Adjacente,34815.93,67146.21,133943.22,37951.21,273856.57,217181.4,491037.97,8335,58912.77,Demais serviços,23859555,283,6,0,47,0,0,4,120,13,2,5,5,7,6,18,2,8,13,2,25,0,0,0,0,2,0,2,0,75044977,0,0.28998956,0.219464099,0,0,0,11.59958242,0.865278711,0.545638001,0.174635206,0.206612853,0.067991307,0.005122633,8439,1,0,0.5417,0.4361,0.087860913,0.266687364
Douradina,MS,5003504,0,0,0.256524981,0.220203488,0.609246831,0.228274174,0.654528764,0.117197062,26869,67328,1946,0.7,0.706,0.809,0.597,-54.60793067,-22.04553028,327.07,104,254,280.79,Sem Região,Z,Rural Adjacente,29476.65,4971.82,35779.37,35061.18,105289.03,9593.39,114882.42,5775,19893.06,"Administração, defesa, educação e saúde públicas e seguridade social",21301233,107,6,0,8,0,0,3,39,26,4,0,0,0,4,1,2,5,1,3,5,0,0,0,0,0,1,0,1,0,116134900,0.265749703,0.211071489,0,0,0,50.94243505,0.833892617,0.598256204,0.165437067,0.184663537,0.051643192,0,5827,0,0,0.6643,0.6174,0.093631285,0.374078212
Dourado,SP,3514304,0,0,0.329655012,0.083157153,0.90997793,0.18215471,0.656752617,0.161092673,8028,42038,827,0.738,0.718,0.811,0.689,-48.31623581,-22.1131672,707.06,612,1773,205.87,Centro Paulista,D,Intermediário Adjacente,30255.59,99803.46,386191.78,32317.7,548568.53,151346.11,699914.64,8903,78615.59,Comércio e reparação de veículos automotores e motocicletas,24725647,345,27,0,32,0,0,12,152,32,35,2,2,1,7,10,2,8,8,7,8,0,0,1,35,1,0,1,0,129023761,0,0.392083897,0.091339648,0,0,0,11.27649977,0.884190963,0.524040988,0.167761429,0.248817656,0.058066211,0.001182344,8909,1,1,0.4592,0.3794,0.072622023,0.296671491
Douradoquara,MG,3123502,0,0,0.365019011,0.337797619,0.669201521,0.198863636,0.660714286,0.140422078,743,2327,1735,0.706,0.704,0.847,0.591,-47.61197495,-18.43383409,712.04,19,34,312.88,Sem Região,Z,Rural Adjacente,17546.35,6807.01,10421.82,11873.97,46649.16,2889.49,49538.65,1925,25734.36,"Administração, defesa, educação e saúde públicas e seguridade social",11654694,43,0,1,1,0,0,2,13,9,0,0,0,0,1,1,2,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0.241994751,0.103412073,0,0,0,52.49343832,0.879956545,0.607407407,0.200617284,0.144444444,0.04691358,0,1930,0,0,0.4501,0.493,0.06840796,0.296641791
Dourados,MS,5003702,0,0.001719081,0.303200959,0.046620007,0.909082562,0.237436312,0.671430656,0.091133033,343534,914635,606,0.747,0.753,0.843,0.657,-54.81128912,-22.22723554,444.06,14775,45795,4086.24,Grande Dourados,B,Urbano,603632.01,1082780.01,3993002.74,1234510.79,6913925.54,912659.55,7826.59,215486,36320.62,Demais serviços,682923813,6277,85,10,451,2,13,324,2661,329,399,128,77,80,298,435,10,192,346,85,352,0,0,13,1650,9,9,3,2,1723740379,4519167407,0.317480144,0.227606182,1,0,0,6.788405404,0.843711582,0.471139138,0.173546074,0.245004444,0.107904013,0.002412377,218069,75,0,0.6186,0.5311,0.051475428,0.329020065
Doutor Camargo,PR,4107306,0,0,0.346087852,0.123450669,0.876286891,0.182886235,0.644018014,0.173095751,18888,49727,634,0.746,0.704,0.839,0.702,-52.2227215,-23.55590133,382.88,66,614,118.28,Corredores Das Águas,E,Intermediário Adjacente,34921.33,12970.51,64260.15,27368.55,139520.54,12123.19,151643.72,6058,25031.98,Demais serviços,16571246,134,1,0,20,0,1,1,68,15,9,2,0,1,3,1,2,3,2,1,4,0,0,0,0,1,0,1,0,23083090,0,0.326974565,0.198460509,0,0,0,16.73360107,0.892072752,0.524716292,0.176957107,0.237160992,0.060973264,0,6069,0,0,0.5265,0.3973,0.081542594,0.273983116
Doutor Maurício Cardoso,RS,4306734,0,0.002635046,0.35610766,0.498414376,0.492941841,0.176403207,0.620465827,0.203130966,26349,75318,1724,0.706,0.707,0.84,0.593,-54.35826799,-27.50921261,246.71,124,280,255.73,Rota Do Rio Uruguai,D,Rural Adjacente,86725.52,7.24,58200.75,24365.49,176529.76,9637,186166.76,5154,36120.83,"Agricultura, inclusive apoio à agricultura e a pós colheita",17321445,121,3,0,15,0,0,1,36,10,3,0,0,0,5,2,5,6,5,4,26,0,0,0,0,1,2,1,2,24154139,90745891,0.422289286,0.157792628,0,0,0,43.11273981,0.907208733,0.662448133,0.129253112,0.164522822,0.043153527,0.000622407,5110,1,0,0.4375,0.4889,0.058494088,0.222567932
Doutor Pedrinho,SC,4205159,0,0.001942286,0.306603774,0.409049774,0.560210877,0.221396731,0.654779594,0.123823675,1155,6023,1438,0.716,0.714,0.843,0.609,-49.47929336,-26.72046096,535.76,186,706,374.21,Vale Europeu,D,Rural Adjacente,7351.01,36191.47,23557.49,18593.66,85693.62,13054.19,98747.81,3990,24748.82,Indústrias de transformação,13680119,159,6,0,81,2,0,2,34,8,5,0,0,1,4,3,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0.364565163,0.186643409,0,0,0,24.91901321,0.862652608,0.623029913,0.225474429,0.11064651,0.038919267,0.001929881,4043,0,0,0.414,0.345,0.035483871,0.218709677
Doutor Ricardo,RS,4306759,0,0,0.316748768,0.65007776,0.336453202,0.169838946,0.622254758,0.207906296,1692,8189,1192,0.72,0.749,0.855,0.593,-51.98490439,-29.09903106,470.06,62,50,108.73,Vale Do Taquari,D,Rural Adjacente,15150.83,11803.33,15528.81,12080.57,54563.54,4367.52,58931.05,2074,28414.2,"Administração, defesa, educação e saúde públicas e seguridade social",11502509,86,2,0,13,0,0,5,23,11,6,0,0,1,0,1,1,3,2,0,18,0,0,0,0,0,0,0,0,0,0,0.425777332,0.115346038,0,0,0,50.15045135,0.91182266,0.679092382,0.150189087,0.13830362,0.032414911,0,2071,0,0,0.4666,0.3778,0.067385445,0.195687332
Doutor Severiano,RN,2403202,0,0,0.273875539,0.562429696,0.427603204,0.246397695,0.624639769,0.128962536,761,504,3696,0.621,0.567,0.747,0.566,-38.37368308,-6.093687371,364.78,61,65,113.74,Sem Região,Z,Rural Adjacente,1965.84,1665.92,10569.58,34542.18,48743.51,1677.11,50420.63,7187,7015.53,"Administração, defesa, educação e saúde públicas e seguridade social",17592761,43,0,0,2,0,0,0,25,0,0,0,0,0,0,4,2,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0.046892655,0.14759887,0,0,0,28.24858757,0.838262477,0.657478868,0.156560088,0.14737229,0.036751194,0.00183756,7190,2,0,0.6529,0.4943,0.223809524,0.493040293
Doutor Ulysses,PR,4128633,0,0,0.294569583,0.835803201,0.162039462,0.286637931,0.640086207,0.073275862,7171,24362,5262,0.546,0.57,0.791,0.362,-49.4197718,-24.56783645,816.7,252,128,777.48,Sem Região,Z,Rural Adjacente,25.23,2.22,12498.18,25090.06,65.03,1707.09,66737.87,5794,11518.45,"Administração, defesa, educação e saúde públicas e seguridade social",13828534,55,7,0,3,0,1,2,27,1,3,0,0,0,1,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0.127473703,0.086289891,0,0,0,17.82848993,0.816483325,0.779726262,0.157827203,0.033361848,0.012403764,0.016680924,5781,3,0,0.5357,0.5019,0.15185818,0.465185818
Doverlândia,GO,5207253,0,0,0.342245312,0.370973713,0.621515459,0.236289501,0.64362895,0.120081549,19500,52840,2719,0.67,0.684,0.84,0.518,-52.31398042,-16.72103706,514.06,86,433,3221.75,Sem Região,Z,Rural Adjacente,103471.71,11628.8,52.08,31933.84,199117.99,9699.82,208817.81,7795,26788.69,"Pecuária, inclusive apoio à pecuária",23075044,126,4,1,5,0,0,0,72,18,2,0,0,0,4,2,1,3,3,3,8,0,0,1,36,0,1,0,1,0,182366438,0.19856718,0.259529603,0,0,0,13.5171668,0.866193614,0.674370977,0.173200702,0.113809245,0.037302516,0.001316559,7750,2,0,0.5637,0.4623,0.134818288,0.38950762
Dracena,SP,3514403,0,0.0017569,0.32978871,0.051240712,0.912802256,0.177379324,0.656536494,0.166084182,16470,81971,177,0.78,0.752,0.842,0.737,-51.53404966,-21.48613754,414.18,1886,8029,487.69,Sem Região,Z,Urbano,46319.57,120629.47,711185.31,159604.12,1037.74,83.41,1121.15,46088,24326.29,Demais serviços,104441326,1901,40,0,105,0,4,62,989,126,112,34,20,32,59,76,3,43,87,18,91,0,0,0,0,4,3,3,2,655256491,3276619945,0.408178614,0.202832216,0,0,0,8.59549596,0.89460909,0.447841029,0.184914339,0.237422156,0.127496835,0.002299801,46324,3,0,0.5965,0.447,0.054763691,0.281268593
Duartina,SP,3514502,0,0.002693658,0.329034365,0.103200198,0.893559709,0.187631315,0.647848726,0.16451996,1994,14358,584,0.748,0.716,0.837,0.698,-49.40504541,-22.41488138,508.17,834,1477,264.56,Sem Região,Z,Urbano,15621.79,25228.47,116886.06,46890.98,204627.3,10644.46,215271.76,12558,17142.2,Demais serviços,30276816,426,18,1,35,0,0,16,177,27,48,4,7,6,10,16,2,13,24,6,16,0,0,0,0,2,1,2,1,182186484,149659435,0.365818415,0.107409489,0,0,0,8.027614996,0.881805567,0.495510506,0.18244932,0.241044154,0.078589281,0.002499306,12549,0,0,0.5102,0.4323,0.063768653,0.29187135
Duas Barras,RJ,3301603,0,0.000457457,0.325343092,0.291619798,0.70558097,0.224974066,0.660658714,0.11436722,855,21988,2926,0.659,0.677,0.79,0.534,-42.51509763,-22.05890609,564.7,495,500,378.96,Caminhos Da Serra,D,Rural Adjacente,53538.23,16.61,52251.29,92.03,214428.93,19.39,233814.62,11145,20979.33,"Administração, defesa, educação e saúde públicas e seguridade social",,206,4,1,33,0,1,4,96,10,12,2,1,1,1,6,3,14,2,3,12,0,0,0,0,2,1,2,1,38857882,18863990,0.219661254,0.084861184,0,0,0,34.92229789,0.854986276,0.657142857,0.130444088,0.172284644,0.038951311,0.001070091,11169,0,1,0.5172,0.453,0.108454313,0.291417592
Duas Estradas,PB,2505808,0,0,0.296591534,0.200185357,0.778724574,0.265090011,0.570067067,0.164842923,656,4277,4090,0.603,0.565,0.795,0.488,-35.4181768,-6.688132955,145.23,69,40,26.26,Brejo,E,Rural Adjacente,3971.66,1.99,8.63,19928.87,34526.23,1785.23,36.31,3606,10069.73,"Administração, defesa, educação e saúde públicas e seguridade social",,36,0,0,5,0,0,2,19,0,0,1,0,0,0,0,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0.072576177,0.132409972,0,0,0,27.70083102,0.839472237,0.719056974,0.140798952,0.115913556,0.024230517,0,3594,2,0,0.5574,0.5231,0.274876847,0.436781609
Dueré,TO,1707306,0,0,0.317726481,0.372172721,0.662456446,0.292570677,0.609467456,0.097961867,15348,59711,2469,0.679,0.654,0.846,0.566,-49.26587592,-11.34128542,232.1,84,138,3424.85,Sem Região,Z,Rural Adjacente,75875.52,4339.18,13466.5,28.32,122003.98,3618.8,125622.77,4725,26586.83,"Pecuária, inclusive apoio à pecuária",13700164,54,6,5,8,0,0,1,24,0,1,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0.061446554,0.126306806,0,0,0,21.33560913,0.825348432,0.611345646,0.154617414,0.178100264,0.041952507,0.014248021,4727,2,0,0.5563,0.5618,0.114676486,0.391109942
Dumont,SP,3514601,0,0,0.292889598,0.036897275,0.96414098,0.222137307,0.678257547,0.099605146,9177,52688,672,0.74,0.72,0.849,0.674,-47.97084345,-21.233326,624.09,921,1223,111.38,Alta Mogiana,D,Intermediário Adjacente,22710.69,48.93,99301.88,33349.75,204296.77,30.75,235049.63,9325,25206.39,Demais serviços,26065111,336,16,0,58,0,2,16,126,33,16,4,5,15,7,8,2,12,0,5,11,0,0,1,73,0,1,0,1,0,37708597,0.295220437,0.060877627,0,0,0,10.30078286,0.863440992,0.519556251,0.184753236,0.232541601,0.057886503,0.005262409,9468,0,0,0.4851,0.3911,0.069117857,0.359412854
